SOURCE,SURVERYPERIOD,DATEFORMATTED,SAMPLE,FAVORABLE,UNFAVORABLE,MARGIN,CANDIDATE,DAYS_TO_GENERAL_ELECTION,ELECTION_YEAR,ELECTION_DATE
ABC/Wash Post,5/16 - 5/19,5/19/2016,829 RV,41,57,-16,HRC,173,2016,11/8/2016
ABC/Wash Post,5/16 - 5/19,5/19/2016,829 RV,40,57,-17,TRUMP,173,2016,11/8/2016
ABC/Wash Post,5/16 - 5/19,5/19/2016,829 RV,49,41,8,BERNIE,173,2016,11/8/2016
ABC/Wash Post,6/8 - 6/12,6/12/2016,RV,43,56,-13,HRC,149,2016,11/8/2016
ABC/Wash Post,6/8 - 6/12,6/12/2016,RV,31,69,-38,TRUMP,149,2016,11/8/2016
ABC/Wash Post,7/11 - 7/14,7/14/2016,816 RV,40,57,-17,HRC,117,2016,11/8/2016
ABC/Wash Post,7/11 - 7/14,7/14/2016,816 RV,34,62,-28,TRUMP,117,2016,11/8/2016
ABC/Wash Post,8/1 - 8/4,8/4/2016,815 RV,46,52,-6,HRC,96,2016,11/8/2016
ABC/Wash Post,8/1 - 8/4,8/4/2016,815 RV,36,61,-25,TRUMP,96,2016,11/8/2016
ABC/Wash Post,8/24 - 8/28,8/28/2016,RV,38,59,-21,HRC,72,2016,11/8/2016
ABC/Wash Post,8/24 - 8/28,8/28/2016,RV,37,60,-23,TRUMP,72,2016,11/8/2016
ABC/Wash Post,9/19 - 9/22,9/22/2016,834 RV,39,57,-18,HRC,47,2016,11/8/2016
ABC/Wash Post,9/19 - 9/22,9/22/2016,834 RV,38,57,-19,TRUMP,47,2016,11/8/2016
ABC/Wash Post,9/28 - 9/30,9/30/2016,RV,43,55,-12,HRC,39,2016,11/8/2016
ABC/Wash Post,9/28 - 9/30,9/30/2016,RV,37,61,-24,TRUMP,39,2016,11/8/2016
ABC/Wash Post,10/10 - 10/13,10/13/2016,740 LV,42,56,-14,HRC,26,2016,11/8/2016
ABC/Wash Post,10/10 - 10/13,10/13/2016,740 LV,37,62,-25,TRUMP,26,2016,11/8/2016
ABC/Wash Post,1/12 - 1/15,1/15/2017,1005 A,40,54,-14,TRUMP,1388,2020,11/3/2020
ABC/Wash Post,4/8 - 4/11,4/11/2018,865 RV,36,57,-21,TRUMP,937,2020,11/3/2020
ABC/Wash Post,10/26 - 10/29,10/29/2016,1165 LV,38,60,-22,HRC,10,2016,11/8/2016
ABC/Wash Post,10/26 - 10/29,10/29/2016,1165 LV,39,58,-19,TRUMP,10,2016,11/8/2016
ABC/Wash Post,11/2 - 11/5,11/5/2016,1773 LV,42,56,-14,HRC,3,2016,11/8/2016
ABC/Wash Post,11/2 - 11/5,11/5/2016,1773 LV,38,60,-22,TRUMP,3,2016,11/8/2016
Associated Press/GfK,3/20 - 3/24,3/24/2014,1012 A,46,39,7,HRC,960,2016,11/8/2016
Associated Press/GfK,7/24 - 7/28,7/28/2014,1044 A,48,42,6,HRC,834,2016,11/8/2016
Associated Press/GfK,4/23 - 4/27,4/27/2015,1077 A,46,41,5,HRC,561,2016,11/8/2016
Associated Press/GfK,4/23 - 4/27,4/27/2015,1077 A,10,11,-1,BERNIE,561,2016,11/8/2016
Associated Press/GfK,7/9 - 7/13,7/13/2015,1004 A,39,49,-10,HRC,484,2016,11/8/2016
Associated Press/GfK,7/9 - 7/13,7/13/2015,1004 A,28,58,-30,TRUMP,484,2016,11/8/2016
Associated Press/GfK,10/15 - 10/19,10/19/2015,1027 A,41,48,-7,HRC,386,2016,11/8/2016
Associated Press/GfK,10/15 - 10/19,10/19/2015,1027 A,31,57,-26,TRUMP,386,2016,11/8/2016
Associated Press/GfK,10/15 - 10/19,10/19/2015,1027 A,32,30,2,BERNIE,386,2016,11/8/2016
Associated Press/GfK,12/3 - 12/7,12/7/2015,1007 A,44,46,-2,HRC,337,2016,11/8/2016
Associated Press/GfK,12/3 - 12/7,12/7/2015,1007 A,30,58,-28,TRUMP,337,2016,11/8/2016
Associated Press/GfK,12/3 - 12/7,12/7/2015,1007 A,31,32,-1,BERNIE,337,2016,11/8/2016
Associated Press/GfK,2/11 - 2/15,2/15/2016,1033 A,40,39,1,BERNIE,267,2016,11/8/2016
Associated Press/GfK,2/11 - 2/15,2/15/2016,1033 A,38,51,-13,HRC,267,2016,11/8/2016
Associated Press/GfK,2/11 - 2/15,2/15/2016,1033 A,32,58,-26,TRUMP,267,2016,11/8/2016
Associated Press/GfK,3/31 - 4/4,4/4/2016,1076 A,40,55,-15,HRC,218,2016,11/8/2016
Associated Press/GfK,3/31 - 4/4,4/4/2016,1076 A,26,69,-43,TRUMP,218,2016,11/8/2016
Associated Press/GfK,7/7 - 7/11,7/11/2016,1009 A,37,57,-20,HRC,120,2016,11/8/2016
Associated Press/GfK,7/7 - 7/11,7/11/2016,1009 A,31,63,-32,TRUMP,120,2016,11/8/2016
Associated Press/GfK,9/15 - 9/16,9/16/2016,1251 LV,42,54,-12,HRC,53,2016,11/8/2016
Associated Press/GfK,9/15 - 9/16,9/16/2016,1251 LV,37,60,-23,TRUMP,53,2016,11/8/2016
Associated Press/GfK,10/20 - 10/24,10/24/2016,1212 LV,46,51,-5,HRC,15,2016,11/8/2016
Associated Press/GfK,10/20 - 10/24,10/24/2016,1212 LV,34,64,-30,TRUMP,15,2016,11/8/2016
Bloomberg,9/10 - 9/14,9/14/2009,1004 A,62,32,30,HRC,2612,2016,11/8/2016
Bloomberg,12/3 - 12/7,12/7/2009,1000 A,62,31,31,HRC,2528,2016,11/8/2016
Bloomberg,12/7 - 12/10,12/10/2012,1000 A,70,24,46,HRC,1429,2016,11/8/2016
Bloomberg,5/31 - 6/3,6/3/2013,1002 A,58,37,21,HRC,1254,2016,11/8/2016
Bloomberg,3/7 - 3/10,3/10/2014,1001 A,56,38,18,HRC,974,2016,11/8/2016
Bloomberg,6/6 - 6/9,6/9/2014,1005 A,52,40,12,HRC,883,2016,11/8/2016
Bloomberg,12/3 - 12/5,12/5/2014,1001 A,52,42,10,HRC,704,2016,11/8/2016
Bloomberg,4/6 - 4/8,4/8/2015,1008 A,48,44,4,HRC,580,2016,11/8/2016
Bloomberg,9/18 - 9/21,9/21/2015,1001 A,38,54,-16,HRC,414,2016,11/8/2016
Bloomberg,9/18 - 9/21,9/21/2015,1001 A,31,61,-30,TRUMP,414,2016,11/8/2016
Bloomberg,3/19 - 3/22,3/22/2016,1000 A,44,53,-9,HRC,231,2016,11/8/2016
Bloomberg,3/19 - 3/22,3/22/2016,1000 A,29,68,-39,TRUMP,231,2016,11/8/2016
Bloomberg,3/19 - 3/22,3/22/2016,1000 A,52,41,11,BERNIE,231,2016,11/8/2016
Bloomberg,6/10 - 6/13,6/13/2016,1000 A,43,54,-11,HRC,148,2016,11/8/2016
Bloomberg,6/10 - 6/13,6/13/2016,1000 A,31,66,-35,TRUMP,148,2016,11/8/2016
Bloomberg,8/5 - 8/8,8/8/2016,1007 A,40,57,-17,HRC,92,2016,11/8/2016
Bloomberg,8/5 - 8/8,8/8/2016,1007 A,33,63,-30,TRUMP,92,2016,11/8/2016
Bloomberg,9/21 - 9/24,9/24/2016,1002 LV,42,56,-14,HRC,45,2016,11/8/2016
Bloomberg,9/21 - 9/24,9/24/2016,1002 LV,42,56,-14,TRUMP,45,2016,11/8/2016
Bloomberg,10/14 - 10/17,10/17/2016,1006 LV,47,52,-5,HRC,22,2016,11/8/2016
Bloomberg,10/14 - 10/17,10/17/2016,1006 LV,37,62,-25,TRUMP,22,2016,11/8/2016
Bloomberg,11/4 - 11/6,11/6/2016,799 LV,46,51,-5,HRC,2,2016,11/8/2016
Bloomberg,11/4 - 11/6,11/6/2016,799 LV,41,57,-16,TRUMP,2,2016,11/8/2016
Bloomberg,12/2 - 12/5,12/5/2016,999 A,50,43,7,TRUMP,1429,2020,11/3/2020
Bloomberg,7/8 - 7/12,7/12/2017,1001 A,41,55,-14,TRUMP,1210,2020,11/3/2020
CBS News,12/12 - 12/16,12/16/2012,1179 A,55,23,32,HRC,1423,2016,11/8/2016
CBS News,2/6 - 2/10,2/10/2013,1148 A,57,24,33,HRC,1367,2016,11/8/2016
CBS News,3/21 - 3/24,3/24/2015,1023 A,26,37,-11,HRC,595,2016,11/8/2016
CBS News,4/8 - 4/12,4/12/2016,1320 A,31,54,-23,HRC,210,2016,11/8/2016
CBS News,4/8 - 4/12,4/12/2016,1098 RV,25,63,-38,TRUMP,210,2016,11/8/2016
CBS News,4/8 - 4/12,4/12/2016,1320 A,39,34,5,BERNIE,210,2016,11/8/2016
CBS News,6/9 - 6/13,6/13/2016,1048 RV,33,52,-19,HRC,148,2016,11/8/2016
CBS News,6/9 - 6/13,6/13/2016,1048 RV,26,58,-32,TRUMP,148,2016,11/8/2016
CBS News,7/22 - 7/24,7/24/2016,1363 A,31,56,-25,HRC,107,2016,11/8/2016
CBS News,7/22 - 7/24,7/24/2016,1363 A,34,53,-19,TRUMP,107,2016,11/8/2016
CBS News,7/29 - 7/31,7/31/2016,1131 RV,36,50,-14,HRC,100,2016,11/8/2016
CBS News,7/29 - 7/31,7/31/2016,1131 RV,31,52,-21,TRUMP,100,2016,11/8/2016
CBS News,9/28 - 10/2,10/2/2016,1217 RV,39,49,-10,HRC,37,2016,11/8/2016
CBS News,9/28 - 10/2,10/2/2016,1217 RV,32,55,-23,TRUMP,37,2016,11/8/2016
CBS News,10/12 - 10/16,10/16/2016,1189 LV,35,52,-17,HRC,23,2016,11/8/2016
CBS News,10/12 - 10/16,10/16/2016,1189 LV,30,59,-29,TRUMP,23,2016,11/8/2016
CBS News,12/9 - 12/13,12/13/2016,RV,32,42,-10,TRUMP,1421,2020,11/3/2020
CBS News,1/13 - 1/16,1/16/2017,1257 A,32,42,-10,TRUMP,1387,2020,11/3/2020
CBS News/NY Times,4/30 - 5/3,5/3/2015,1027 A,35,36,-1,HRC,555,2016,11/8/2016
CBS News/NY Times,3/17 - 3/20,3/20/2016,1252 A,31,52,-21,HRC,233,2016,11/8/2016
CBS News/NY Times,3/17 - 3/20,3/20/2016,1252 A,24,57,-33,TRUMP,233,2016,11/8/2016
CBS News/NY Times,5/13 - 5/17,5/17/2016,1109 RV,31,52,-21,HRC,175,2016,11/8/2016
CBS News/NY Times,5/13 - 5/17,5/17/2016,1109 RV,26,55,-29,TRUMP,175,2016,11/8/2016
CBS News/NY Times,5/13 - 5/17,5/17/2016,1109 RV,41,33,8,BERNIE,175,2016,11/8/2016
CBS News/NY Times,7/8 - 7/12,7/12/2016,1358 RV,28,54,-26,HRC,119,2016,11/8/2016
CBS News/NY Times,7/8 - 7/12,7/12/2016,1358 RV,30,54,-24,TRUMP,119,2016,11/8/2016
CBS News/NY Times,9/9 - 9/13,9/13/2016,1753 A,35,52,-17,HRC,56,2016,11/8/2016
CBS News/NY Times,9/9 - 9/13,9/13/2016,1753 A,33,53,-20,TRUMP,56,2016,11/8/2016
CBS News/NY Times,10/28 - 11/1,11/1/2016,1333 RV,35,54,-19,HRC,7,2016,11/8/2016
CBS News/NY Times,10/28 - 11/1,11/1/2016,1333 RV,33,56,-23,TRUMP,7,2016,11/8/2016
CNN,4/23 - 4/26,4/26/2009,1023 A,64,34,30,HRC,2753,2016,11/8/2016
CNN,7/31 - 8/3,8/3/2009,1136 A,61,35,26,HRC,2654,2016,11/8/2016
CNN,10/16 - 10/18,10/18/2009,1038 A,65,32,33,HRC,2578,2016,11/8/2016
CNN,4/22 - 4/25,4/25/2017,918 RV,59,35,24,BERNIE,1288,2020,11/3/2020
CNN,9/17 - 9/20,9/20/2017,RV,43,55,-12,TRUMP,1140,2020,11/3/2020
CNN,12/14 - 12/17,12/17/2017,898 RV,37,60,-23,TRUMP,1052,2020,11/3/2020
CNN,1/14 - 1/18,1/18/2018,RV,43,55,-12,TRUMP,1020,2020,11/3/2020
CNN,1/14 - 1/18,1/18/2018,918 RV,57,32,25,BERNIE,1020,2020,11/3/2020
CNN,5/2 - 5/5,5/5/2018,901 RV,45,53,-8,TRUMP,913,2020,11/3/2020
CNN,9/6 - 9/9,9/9/2018,923 RV,61,28,33,BIDEN,786,2020,11/3/2020
CNN,9/6 - 9/9,9/9/2018,RV,37,61,-24,TRUMP,786,2020,11/3/2020
CNN,9/6 - 9/9,9/9/2018,923 RV,54,36,18,BERNIE,786,2020,11/3/2020
CNN,12/6 - 12/9,12/9/2018,919 RV,41,55,-14,TRUMP,695,2020,11/3/2020
CNN,1/30 - 2/2,2/2/2019,RV,44,53,-9,TRUMP,640,2020,11/3/2020
CNN,3/14 - 3/17,3/17/2019,914 RV,42,53,-11,TRUMP,597,2020,11/3/2020
CNN,3/14 - 3/17,3/17/2019,914 RV,46,45,1,BERNIE,597,2020,11/3/2020
CNN,4/25 - 4/28,4/28/2019,913 RV,51,41,10,BIDEN,555,2020,11/3/2020
CNN,4/25 - 4/29,4/29/2019,913 RV,45,54,-9,TRUMP,554,2020,11/3/2020
CNN,5/28 - 5/31,5/31/2019,902 RV,45,52,-7,TRUMP,522,2020,11/3/2020
CNN,6/28 - 6/30,6/30/2019,1466 RV,47,44,3,BIDEN,492,2020,11/3/2020
CNN,6/28 - 6/30,6/30/2019,1466 RV,43,55,-12,TRUMP,492,2020,11/3/2020
CNN,6/28 - 6/30,6/30/2019,1466 RV,44,50,-6,BERNIE,492,2020,11/3/2020
CNN,10/17 - 10/20,10/20/2019,892 RV,44,56,-12,TRUMP,380,2020,11/3/2020
CNN,12/12 - 12/15,12/15/2019,888 RV,43,53,-10,TRUMP,324,2020,11/3/2020
CNN,3/4-3/7,3/7/2020,1084 RV,44,54,-10,TRUMP,241,2020,11/3/2020
CNN,3/4 - 3/7,3/7/2020,1084 RV,49,46,3,BIDEN,241,2020,11/3/2020
CNN,3/4 - 3/7,3/7/2020,1084 RV,41,55,-14,BERNIE,241,2020,11/3/2020
CNN/Opinion Research,11/16 - 11/18,11/18/2012,RV,68,28,40,HRC,1451,2016,11/8/2016
CNN/Opinion Research,5/17 - 5/18,5/18/2013,923 A,61,36,25,HRC,1270,2016,11/8/2016
CNN/Opinion Research,10/18 - 10/20,10/20/2013,RV,58,38,20,HRC,1115,2016,11/8/2016
CNN/Opinion Research,3/7 - 3/9,3/9/2014,801 A,57,41,16,HRC,975,2016,11/8/2016
CNN/Opinion Research,5/29 - 6/1,6/1/2014,1003 A,55,42,13,HRC,891,2016,11/8/2016
CNN/Opinion Research,11/21 - 11/23,11/23/2014,1045 A,59,38,21,HRC,716,2016,11/8/2016
CNN/Opinion Research,3/13 - 3/15,3/15/2015,1009 A,53,44,9,HRC,604,2016,11/8/2016
CNN/ORC,2/24 - 2/27,2/27/2016,920 RV,57,33,24,BERNIE,255,2016,11/8/2016
CNN/ORC,2/24 - 2/27,2/27/2016,920 RV,42,55,-13,HRC,255,2016,11/8/2016
CNN/ORC,2/24 - 2/27,2/27/2016,920 RV,37,60,-23,TRUMP,255,2016,11/8/2016
CNN/ORC,3/17 - 3/20,3/20/2016,1001 A,43,56,-13,HRC,233,2016,11/8/2016
CNN/ORC,3/17 - 3/20,3/20/2016,1001 A,31,67,-36,TRUMP,233,2016,11/8/2016
CNN/ORC,3/17 - 3/20,3/20/2016,1001 A,48,43,5,BERNIE,233,2016,11/8/2016
CNN/ORC,4/28 - 5/1,5/1/2016,1001 A,48,49,-1,HRC,191,2016,11/8/2016
CNN/ORC,4/28 - 5/1,5/1/2016,1001 A,39,57,-18,TRUMP,191,2016,11/8/2016
CNN/ORC,4/28 - 5/1,5/1/2016,1001 A,60,32,28,BERNIE,191,2016,11/8/2016
CNN/ORC,6/16 - 6/19,6/19/2016,891 RV,42,57,-15,HRC,142,2016,11/8/2016
CNN/ORC,6/16 - 6/19,6/19/2016,891 RV,40,59,-19,TRUMP,142,2016,11/8/2016
CNN/ORC,6/16 - 6/19,6/19/2016,891 RV,59,35,24,BERNIE,142,2016,11/8/2016
CNN/ORC,7/13 - 7/16,7/16/2016,872 RV,42,55,-13,HRC,115,2016,11/8/2016
CNN/ORC,7/13 - 7/16,7/16/2016,872 RV,39,59,-20,TRUMP,115,2016,11/8/2016
CNN/ORC,7/22 - 7/24,7/24/2016,882 RV,41,55,-14,HRC,107,2016,11/8/2016
CNN/ORC,7/22 - 7/24,7/24/2016,882 RV,46,51,-5,TRUMP,107,2016,11/8/2016
CNN/ORC,7/29 - 7/31,7/31/2016,894 RV,43,54,-11,HRC,100,2016,11/8/2016
CNN/ORC,7/29 - 7/31,7/31/2016,894 RV,35,61,-26,TRUMP,100,2016,11/8/2016
CNN/ORC,9/1 - 9/4,9/4/2016,786 LV,42,56,-14,HRC,65,2016,11/8/2016
CNN/ORC,9/1 - 9/4,9/4/2016,786 LV,45,54,-9,TRUMP,65,2016,11/8/2016
CNN/ORC,9/28 - 10/2,10/2/2016,1213 LV,43,54,-11,HRC,37,2016,11/8/2016
CNN/ORC,9/28 - 10/2,10/2/2016,1213 LV,39,59,-20,TRUMP,37,2016,11/8/2016
CNN/ORC,10/20 - 10/23,10/23/2016,779 LV,46,52,-6,HRC,16,2016,11/8/2016
CNN/ORC,10/20 - 10/23,10/23/2016,779 LV,41,57,-16,TRUMP,16,2016,11/8/2016
CNN/ORC,11/17 - 11/20,11/20/2016,1003 A,47,50,-3,TRUMP,1444,2020,11/3/2020
CNN/ORC,1/12 - 1/15,1/15/2017,1000 A,44,53,-9,TRUMP,1388,2020,11/3/2020
CNN/ORC,3/1 - 3/4,3/4/2017,1025 A,45,53,-8,TRUMP,1340,2020,11/3/2020
CNN/ORC,4/22 - 4/25,4/25/2017,RV,46,53,-7,TRUMP,1288,2020,11/3/2020
Economist/YouGov,5/6 - 5/8,5/8/2016,2000 A,35,61,-26,TRUMP,184,2016,11/8/2016
Economist/YouGov,5/20 - 5/23,5/23/2016,2000 RV,43,54,-11,HRC,169,2016,11/8/2016
Economist/YouGov,5/20 - 5/23,5/23/2016,2000 RV,36,61,-25,TRUMP,169,2016,11/8/2016
Economist/YouGov,6/2 - 6/5,6/5/2016,2000 A,44,53,-9,HRC,156,2016,11/8/2016
Economist/YouGov,6/2 - 6/5,6/5/2016,2000 A,36,61,-25,TRUMP,156,2016,11/8/2016
Economist/YouGov,6/18 - 6/20,6/20/2016,1288 A,41,56,-15,HRC,141,2016,11/8/2016
Economist/YouGov,6/18 - 6/20,6/20/2016,1293 A,35,61,-26,TRUMP,141,2016,11/8/2016
Economist/YouGov,6/24 - 6/27,6/27/2016,1289 RV,42,56,-14,HRC,134,2016,11/8/2016
Economist/YouGov,6/24 - 6/27,6/27/2016,1288 RV,33,66,-33,TRUMP,134,2016,11/8/2016
Economist/YouGov,7/2 - 7/4,7/4/2016,1300 A,41,55,-14,HRC,127,2016,11/8/2016
Economist/YouGov,7/2 - 7/4,7/4/2016,1300 A,32,65,-33,TRUMP,127,2016,11/8/2016
Economist/YouGov,7/9 - 7/11,7/11/2016,1300 A,42,55,-13,HRC,120,2016,11/8/2016
Economist/YouGov,7/9 - 7/11,7/11/2016,1300 A,33,64,-31,TRUMP,120,2016,11/8/2016
Economist/YouGov,7/15 - 7/17,7/17/2016,1300 A,41,55,-14,HRC,114,2016,11/8/2016
Economist/YouGov,7/15 - 7/17,7/17/2016,1300 A,37,59,-22,TRUMP,114,2016,11/8/2016
Economist/YouGov,7/23 - 7/24,7/24/2016,1300 A,42,56,-14,HRC,107,2016,11/8/2016
Economist/YouGov,7/23 - 7/24,7/24/2016,1300 A,35,61,-26,TRUMP,107,2016,11/8/2016
Economist/YouGov,7/23 - 7/24,7/24/2016,1300 A,53,36,17,BERNIE,107,2016,11/8/2016
Economist/YouGov,7/30 - 8/1,8/1/2016,1300 A,44,54,-10,HRC,99,2016,11/8/2016
Economist/YouGov,7/30 - 8/1,8/1/2016,1300 A,33,64,-31,TRUMP,99,2016,11/8/2016
Economist/YouGov,8/6 - 8/9,8/9/2016,1293 A,41,57,-16,HRC,91,2016,11/8/2016
Economist/YouGov,8/6 - 8/9,8/9/2016,1287 A,34,63,-29,TRUMP,91,2016,11/8/2016
Economist/YouGov,8/14 - 8/16,8/16/2016,1300 A,43,55,-12,HRC,84,2016,11/8/2016
Economist/YouGov,8/14 - 8/16,8/16/2016,1300 A,32,66,-34,TRUMP,84,2016,11/8/2016
Economist/YouGov,8/19 - 8/23,8/23/2016,1300 A,44,53,-9,HRC,77,2016,11/8/2016
Economist/YouGov,8/19 - 8/23,8/23/2016,1300 A,35,62,-27,TRUMP,77,2016,11/8/2016
Economist/YouGov,8/27 - 8/29,8/29/2016,1300 A,41,58,-17,HRC,71,2016,11/8/2016
Economist/YouGov,8/27 - 8/29,8/29/2016,1300 A,34,64,-30,TRUMP,71,2016,11/8/2016
Economist/YouGov,9/4 - 9/6,9/6/2016,1300 A,44,54,-10,HRC,63,2016,11/8/2016
Economist/YouGov,9/4 - 9/6,9/6/2016,1300 A,35,63,-28,TRUMP,63,2016,11/8/2016
Economist/YouGov,9/10 - 9/13,9/13/2016,1300 A,46,53,-7,HRC,56,2016,11/8/2016
Economist/YouGov,9/10 - 9/13,9/13/2016,1300 A,36,62,-26,TRUMP,56,2016,11/8/2016
Economist/YouGov,9/18 - 9/19,9/19/2016,1300 A,44,54,-10,HRC,50,2016,11/8/2016
Economist/YouGov,9/18 - 9/19,9/19/2016,1300 A,36,60,-24,TRUMP,50,2016,11/8/2016
Economist/YouGov,9/22 - 9/24,9/24/2016,948 RV,42,57,-15,HRC,45,2016,11/8/2016
Economist/YouGov,9/22 - 9/24,9/24/2016,948 RV,35,63,-28,TRUMP,45,2016,11/8/2016
Economist/YouGov,10/1 - 10/3,10/3/2016,911 RV,44,56,-12,HRC,36,2016,11/8/2016
Economist/YouGov,10/1 - 10/3,10/3/2016,911 RV,37,61,-24,TRUMP,36,2016,11/8/2016
Economist/YouGov,10/7 - 10/8,10/8/2016,971 RV,44,53,-9,HRC,31,2016,11/8/2016
Economist/YouGov,10/7 - 10/8,10/8/2016,971 RV,34,63,-29,TRUMP,31,2016,11/8/2016
Economist/YouGov,10/15 - 10/18,10/18/2016,925 RV,42,57,-15,HRC,21,2016,11/8/2016
Economist/YouGov,10/15 - 10/18,10/18/2016,925 RV,36,63,-27,TRUMP,21,2016,11/8/2016
Economist/YouGov,10/22 - 10/26,10/26/2016,1193 LV,43,57,-14,HRC,13,2016,11/8/2016
Economist/YouGov,10/22 - 10/26,10/26/2016,1193 LV,40,59,-19,TRUMP,13,2016,11/8/2016
Economist/YouGov,10/30 - 11/1,11/1/2016,1221 LV,41,59,-18,HRC,7,2016,11/8/2016
Economist/YouGov,10/30 - 11/1,11/1/2016,1218 LV,41,58,-17,TRUMP,7,2016,11/8/2016
Economist/YouGov,11/4 - 11/7,11/7/2016,3677 LV,43,56,-13,HRC,1,2016,11/8/2016
Economist/YouGov,11/4 - 11/7,11/7/2016,3677 LV,39,60,-21,TRUMP,1,2016,11/8/2016
Economist/YouGov,11/12 - 11/15,11/15/2016,1345 RV,44,54,-10,TRUMP,1449,2020,11/3/2020
Economist/YouGov,11/19 - 11/22,11/22/2016,1434 A,38,54,-16,TRUMP,1442,2020,11/3/2020
Economist/YouGov,11/28 - 11/29,11/29/2016,1451 A,44,50,-6,TRUMP,1435,2020,11/3/2020
Economist/YouGov,12/3 - 12/5,12/5/2016,1170 RV,44,52,-8,TRUMP,1429,2020,11/3/2020
Economist/YouGov,12/10 - 12/13,12/13/2016,1051 RV,45,51,-6,TRUMP,1421,2020,11/3/2020
Economist/YouGov,12/17 - 12/20,12/20/2016,1185 RV,46,50,-4,TRUMP,1414,2020,11/3/2020
Economist/YouGov,12/24 - 12/27,12/27/2016,1412 RV,45,51,-6,TRUMP,1407,2020,11/3/2020
Economist/YouGov,12/31 - 1/3,1/3/2017,1439 RV,44,51,-7,TRUMP,1400,2020,11/3/2020
Economist/YouGov,1/7 - 1/10,1/10/2017,1224 RV,45,52,-7,TRUMP,1393,2020,11/3/2020
Economist/YouGov,1/14 - 1/17,1/17/2017,1222 RV,43,54,-11,TRUMP,1386,2020,11/3/2020
Economist/YouGov,1/23 - 1/25,1/25/2017,2312 RV,46,49,-3,TRUMP,1378,2020,11/3/2020
Economist/YouGov,1/28 - 1/31,1/31/2017,1278 RV,45,50,-5,TRUMP,1372,2020,11/3/2020
Economist/YouGov,2/5 - 2/7,2/7/2017,1315 RV,45,51,-6,TRUMP,1365,2020,11/3/2020
Economist/YouGov,2/12 - 2/14,2/14/2017,1272 RV,45,51,-6,TRUMP,1358,2020,11/3/2020
Economist/YouGov,2/18 - 2/20,2/20/2017,1198 RV,47,50,-3,TRUMP,1352,2020,11/3/2020
Economist/YouGov,2/25 - 3/1,3/1/2017,1251 RV,44,54,-10,TRUMP,1343,2020,11/3/2020
Economist/YouGov,3/6 - 3/7,3/7/2017,1356 RV,43,52,-9,TRUMP,1337,2020,11/3/2020
Economist/YouGov,3/13 - 3/14,3/14/2017,1306 RV,46,51,-5,TRUMP,1330,2020,11/3/2020
Economist/YouGov,3/19 - 3/21,3/21/2017,1280 RV,45,51,-6,TRUMP,1323,2020,11/3/2020
